11	Sports	sports fan, baseball coach, basketball coach, sports, browns, fantasy football
9	Acting + Performance	actor writer, actress writer, screenwriter, writer director
10	News + Politics	politics, endorsements, political, reporter, policy, news junkie
14	Gaming	gamer, games, gaming, video games, minecraft, xbox
12	Country Music	country music, love country, luke bryan, country girl, loves country, country singer
5	Self-promotion	fmoi, unbothered, twifey, twubby, mention follow, obeyreality, teamprettyladies
1	Music + Production	booking, features, music producer, beats, artist, engineer
8	Fashion + Style	fashion, beauty, blogger, makeup, style blogger, lifestyle
6	Faith + Religion	pastor, worship, church, ministry, christ, follower jesus, worship leader
4	Sneakers	sneakers, sneaker enthusiast, connoisseur, collector, sneakerhead
2	generic twitter	students, web, ux, wedding, developer, software, kpop
7	humor	ihcc, sitivity, ksc 17, Î±xÏ‰, Ï†Î¹Ï‡, 19 emt, rowan class, Î´Ï†Î¶, fpufh, ecws
13	celebrity culture	reality junkie, bravoholic, rhonj, rhobh, rhoc, bravolebrity
0	porn	porn, xxx, sexy, models, sex, pornstar, adult, pics, celebs, babes
3	teen pop	5sos, 1d, directioner, direction, magcon, seconds summer 
